article whose author is e0 or e1	SW.filter entity-en.article string-author string-= SW.concat
venues of two articles	SW.countComparative entity-en.venue SW.reverse string-venue string-= number2 entity-en.article
articles that do not cite e0	SW.filter entity-en.article string-cites string-!= e0
what is the earliest published article	SW.superlative entity-en.article string-min SW.ensureNumericProperty string-publication_date
find an article published in either d0 or d1	SW.filter entity-en.article string-publication_date string-= SW.concat
which articles cite less than two articles	SW.countComparative entity-en.article string-cites string-< number2 entity-en.article
articles with their publication dates between d0 and d1	SW.filter entity-en.article string-publication_date string-= SW.concat
articles written by e0 and published in the annals of e1	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-venue string-= e1
name an article produced by more than two authors	SW.countComparative entity-en.article string-author string-> number2
articles cited by articles published in d0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
venue that is venue of article that cites e0	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article string-cites string-= e0 )
venues of two articles	SW.countComparative entity-en.venue SW.reverse string-venue string-= number2 entity-en.article
articles that cite the most articles	SW.countSuperlative entity-en.article string-max string-cites entity-en.article
what article has a publication date earlier than d0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-< ( SW.ensureNumericEntity d0 )
article citing awardwinning article	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-won_award )
what venue has two or less articles	SW.countComparative entity-en.venue SW.reverse string-venue string-<= number2 entity-en.article
articles that cite more than two articles	SW.countComparative entity-en.article string-cites string-> number2 entity-en.article
venue of two articles	SW.countComparative entity-en.venue SW.reverse string-venue string-= number2 entity-en.article
articles with fewer than two authors	SW.countComparative entity-en.article string-author string-< number2
what article written by e0 cites e1	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-cites string-= e1
what article cites less than two other articles	SW.countComparative entity-en.article SW.reverse string-cites string-< number2 entity-en.article
who authored e0	SW.getProperty e0 string-author
an article by e0 that cites e1	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) SW.reverse string-cites string-= e1
article that cites the least number of article	SW.countSuperlative entity-en.article string-min string-cites entity-en.article
what article is cited at least twice	SW.countComparative entity-en.article SW.reverse string-cites string->= number2 entity-en.article
what article was published before e0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-publication_date  )
what article won an award	SW.filter entity-en.article string-won_award
which article  is written by less than two authors	SW.countComparative entity-en.article string-author string-< number2
which articles cite at least two articles	SW.countComparative entity-en.article string-cites string->= number2 entity-en.article
what article has a publication date greater than d0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-> ( SW.ensureNumericEntity d0 )
what article cites e0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-cites string-= e0 )
what article has a publication date the same as the date of e0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-publication_date  )
articles that cite e0 published in d1	SW.filter ( SW.filter entity-en.article string-cites string-= e0 ) string-publication_date string-= d1
articles published in d0 or before	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-<= ( SW.ensureNumericEntity d0 )
author of two articles	SW.countComparative entity-en.person SW.reverse string-author string-= number2 entity-en.article
any article that cites another article published in annals of e0	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article string-venue string-= e0 )
articles that cite articles written by e0	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article string-author string-= e0 )
article that cites e0	SW.filter entity-en.article string-venue string-= SW.getProperty e0 string-venue
article that cites two or more articles	SW.countComparative entity-en.article string-cites string->= number2 entity-en.article
articles published in annals of e0 that cite e1	SW.filter ( SW.filter entity-en.article string-cites string-= e1 ) string-venue string-= e0
how many journals are there	.size entity-en.venue
articles that won an award published in annals of e0	SW.filter ( SW.filter entity-en.article string-won_award ) string-venue string-= e0
what article was cited the most	SW.countSuperlative entity-en.article string-max SW.reverse string-cites entity-en.article
find a venue of an article in annals of e0	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article string-venue string-= e0 )
author of more than two articles	SW.countComparative entity-en.person SW.reverse string-author string-> number2 entity-en.article
which articles author is e0	SW.filter entity-en.article string-author string-= e0
author of article cited by e0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
an article whose also authored e0	SW.filter entity-en.article string-author string-= SW.getProperty e0 string-author
find an article by e0	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-author string-= e0
article with publication date as d0 or d1	SW.concat
what article has a publication date of d0	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
what is the venue of an article that cites e0	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
awardwinning article by e0	SW.filter ( SW.filter entity-en.article string-won_award ) string-author string-= e0
articles published in more than two venues	SW.countComparative entity-en.article string-venue string-> number2
articles published in d0 and citing e0	SW.filter ( SW.filter entity-en.article string-publication_date string-= d0 ) string-cites string-= e0
articles with one or two authors	SW.countComparative entity-en.article string-author string-<= number2
what venue can you find e0 in	SW.filter ( SW.filter entity-en.venue SW.reverse string-venue string-= e0 ) SW.reverse string-venue string-= e0
what article cites more than two other articles	SW.countComparative entity-en.article SW.reverse string-cites string-> number2 entity-en.article
name an article from d0 about e0	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-publication_date string-= d0
which articles cite more than two articles	SW.countComparative entity-en.article SW.reverse string-cites string-> number2 entity-en.article
name an article from the annals of e0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-venue string-= e0 )
articles written by e0 and cited by e1	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) SW.reverse string-cites string-= e1
who is someone who has authored articles about e0	SW.filter ( SW.filter entity-en.person SW.reverse string-author string-= e0 ) SW.reverse string-author string-= e0
articles with less than two references	SW.countComparative entity-en.article string-cites string-< number2 entity-en.article
publications that have contained more than two articles	SW.countComparative entity-en.venue SW.reverse string-venue string-> number2 entity-en.article
articles published in two or more venues	SW.countComparative entity-en.article string-venue string->= number2
what is an article that has two venues	SW.countComparative entity-en.article string-venue string-= number2
articles citing articles cited by e0	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
awardwinning articles cited in e0	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-won_award
publications that do not publish e0	SW.filter entity-en.venue SW.reverse string-venue string-!= e0
writers who cited e0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article string-cites string-= e0 )
articles citing e0 published in annals of e1	SW.filter ( SW.filter entity-en.article string-cites string-= e0 ) string-venue string-= e1
when was e0 published	SW.getProperty e0 string-publication_date
which authors have written two or more articles	SW.countComparative entity-en.person SW.reverse string-author string->= number2 entity-en.article
name an article found in at least two publications	SW.countComparative entity-en.article string-venue string->= number2
name a publication with fewer than two articles	SW.countComparative entity-en.venue SW.reverse string-venue string-< number2 entity-en.article
articles with more than two venues	SW.countComparative entity-en.article string-venue string-> number2
what articles are written by authors of e0	SW.filter entity-en.article string-author string-= ( SW.filter entity-en.person SW.reverse string-author string-= e0 )
articles cited by the most articles	SW.countSuperlative entity-en.article string-max SW.reverse string-cites entity-en.article
articles not published in the annals of e0	SW.filter entity-en.article string-venue string-!= e0
what article from d0 cites e0	SW.filter ( SW.filter entity-en.article string-publication_date string-= d0 ) string-cites string-= e0
what article has a publication date of 2003 and won an award	SW.filter ( SW.filter entity-en.article string-publication_date string-= date:2004:-1:-1 ) string-won_award
what article has two citations	SW.countComparative entity-en.article string-cites string-= number2 entity-en.article
article whose publication date is smaller than publication date of e0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-publication_date  )
what article won an award and is about annals of e0	SW.filter ( SW.filter entity-en.article string-won_award ) string-venue string-= e0
article that has less than two venue	SW.countComparative entity-en.article string-venue string-< number2
what article was published in d0 or later	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string->= ( SW.ensureNumericEntity d0 )
articles published before e0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-publication_date  )
articles written by e0 cited by e1	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) SW.reverse string-cites string-= e1
find an article that makes two or fewer citations	SW.countComparative entity-en.article string-cites string-<= number2 entity-en.article
what articles have under two authors	SW.countComparative entity-en.article string-author string-< number2
articles cited by articles in annals of e0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-venue string-= e0 )
author of article citing e0	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article string-cites string-= e0 )
articles published on the same date as e0	SW.filter entity-en.article string-publication_date string-= SW.getProperty e0 string-publication_date
what article was written by e0 and discusses annals of e1	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-venue string-= e1
what article cites two other articles	SW.countComparative entity-en.article string-cites string-= number2 entity-en.article
article whose author is e0 and whose publication date is d1	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-publication_date string-= d1
article found in the most publications	SW.countSuperlative entity-en.article string-max string-venue
articles written by the e0 writer	SW.filter entity-en.article string-author string-= SW.getProperty e0 string-author
articles published in the same venue as e0	SW.filter entity-en.article string-venue string-= ( SW.filter entity-en.venue SW.reverse string-venue string-= e0 )
what article doesnt cite e0	SW.filter entity-en.article string-cites string-!= e0
what article cites e0 and is also its venue	SW.filter ( SW.filter entity-en.article string-venue string-= en.venue.annals_of_statistics ) string-cites string-= e0
which article cites the fewest articles	SW.countSuperlative entity-en.article string-min string-cites entity-en.article
what article was cited by a d0 article	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
article that cites e0	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
what author published an article in d0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
what article has been cited less than twice	SW.countComparative entity-en.article SW.reverse string-cites string-< number2 entity-en.article
name an article that is not about e0	SW.filter entity-en.article SW.reverse string-cites string-!= e0
articles citing articles published in d0	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
article whose venue is venue that is venue of e0	SW.filter entity-en.article string-venue string-= ( SW.filter entity-en.venue SW.reverse string-venue string-= e0 )
name an article citing e0	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) SW.reverse string-cites string-= e0
what venue has two or more articles	SW.countComparative entity-en.venue SW.reverse string-venue string->= number2 entity-en.article
articles cited by e0 and published in annals of e1	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-venue string-= e1
award winning articles cited by e0	SW.filter ( SW.filter entity-en.article string-won_award ) SW.reverse string-cites string-= e0
what e0 article cites e1	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) SW.reverse string-cites string-= e1
articles published in annals of e0 cited by e1	SW.filter ( SW.filter entity-en.article string-venue string-= e0 ) SW.reverse string-cites string-= e1
what article cites an article from annals of e0	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article string-venue string-= e0 )
find a venue that does not have e0	SW.filter entity-en.venue SW.reverse string-venue string-!= e0
article cited by award winning article	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-won_award )
articles published in or before d0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-<= ( SW.ensureNumericEntity d0 )
which author has written the most articles	SW.countSuperlative entity-en.person string-max SW.reverse string-author entity-en.article
an article that e0 cites	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) SW.reverse string-cites string-= e0
article whose author is e0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-author string-= e0 )
articles published in or before d0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-<= ( SW.ensureNumericEntity d0 )
name an article about e0 by the author e1	SW.filter ( SW.filter entity-en.article string-author string-= e1 ) SW.reverse string-cites string-= e0
publisher of only one article	SW.countComparative entity-en.venue SW.reverse string-venue string-< number2 entity-en.article
what article is cited by an article in annals of e0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-venue string-= e0 )
what article was published on or before d0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-<= ( SW.ensureNumericEntity d0 )
what e0 city articles were published after d1	SW.filter ( SW.filter entity-en.article string-cites string-= e0 ) string-publication_date string-= d1
award winning article published by e0	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-won_award
articles published after e0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-publication_date  )
article not in annals of e0	SW.filter entity-en.article string-venue string-!= e0
e0 cited articles	SW.filter entity-en.article string-cites string-= e0
articles with two authors	SW.countComparative entity-en.article string-author string-= number2
articles that mention two or more cities	SW.countComparative entity-en.article SW.reverse string-cites string->= number2 entity-en.article
journal that did not publish e0	SW.filter entity-en.venue SW.reverse string-venue string-!= e0
what is the venue of an article cited by e0	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
article written by e0 that references e1	SW.filter ( SW.filter entity-en.article string-cites string-= e1 ) string-author string-= e0
articles that does not cites e0	SW.filter entity-en.article SW.reverse string-cites string-!= e0
venue in most of the articles	SW.countSuperlative entity-en.venue string-max SW.reverse string-venue entity-en.article
article that has the same publication date as the e0 article	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-publication_date  )
articles citing e0	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article string-author string-= e0 )
article by only one author	SW.countComparative entity-en.article string-author string-< number2
venues that have efrons article	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article string-author string-= en.person.efron )
what article has the least venues	SW.countSuperlative entity-en.article string-min string-venue
articles published before d0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-< ( SW.ensureNumericEntity d0 )
venue of one or two articles	SW.countComparative entity-en.venue SW.reverse string-venue string-<= number2 entity-en.article
articles cited by e0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-author string-= e0 )
which article that cites e0 won an award	SW.filter ( SW.filter entity-en.article string-won_award ) string-cites string-= e0
articles cited by award winning articles	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-won_award )
an article on e0 that cites e1	SW.filter ( SW.filter entity-en.article string-cites string-= e1 ) string-venue string-= e0
how many people	.size entity-en.person
articles with two authors	SW.countComparative entity-en.article string-author string-= number2
articles that have won an award	SW.filter entity-en.article string-won_award
author of only one article	SW.countComparative entity-en.person SW.reverse string-author string-< number2 entity-en.article
name an article with more than two authors	SW.countComparative entity-en.article string-author string-> number2
what article was written before the publication date of articles about e0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-publication_date  )
what award winning article has annals of e0 as a venue	SW.filter ( SW.filter entity-en.article string-won_award ) string-venue string-= e0
article that cites article that e0 cites	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
author of article that cites e0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
name an article that won an award	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-won_award )
an article that won award cites another article	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-won_award )
what person wrote articles than won an award	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article string-won_award )
articles cited in annals of e0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-venue string-= e0 )
articles published before d0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-<= ( SW.ensureNumericEntity SW.concat )
article with two venues	SW.countComparative entity-en.article string-venue string-= number2
award winning article cited by e0	SW.filter ( SW.filter entity-en.article string-won_award ) SW.reverse string-cites string-= e0
articles not published in annals of e0	SW.filter entity-en.article string-venue string-!= e0
which article was published in d0 authored by e0	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-publication_date string-= d0
what article discusses annals of e0 and whose publication date was d1	SW.filter ( SW.filter entity-en.article string-venue string-= e0 ) string-publication_date string-= d1
name an article about e0 published in d1	SW.filter ( SW.filter entity-en.article string-cites string-= e0 ) string-publication_date string-= d1
what article has more authors than any other	SW.countSuperlative entity-en.article string-max string-author
what article did e0 write whose venue is annals of e1	SW.filter ( SW.filter entity-en.article string-venue string-= e1 ) string-author string-= e0
what venue has two articles	SW.countComparative entity-en.venue SW.reverse string-venue string-= number2 entity-en.article
what are some articles written by e0 or e1	SW.filter entity-en.article string-author string-= SW.concat
name an author of two articles	SW.countComparative entity-en.person SW.reverse string-author string-= number2 entity-en.article
who is the author of the article who won an award	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article string-won_award )
articles cited by two other articles	SW.countComparative entity-en.article SW.reverse string-cites string-= number2 entity-en.article
which article  that cites e0 was published on d1	SW.filter ( SW.filter entity-en.article string-publication_date string-= d1 ) string-cites string-= e0
articles written by e0 that have won an award	SW.filter ( SW.filter entity-en.article string-won_award ) string-author string-= e0
what author has written more than two articles	SW.countComparative entity-en.person SW.reverse string-author string-> number2 entity-en.article
article by e0 citing e1	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) SW.reverse string-cites string-= e1
writers of two or fewer articles	SW.countComparative entity-en.person SW.reverse string-author string-<= number2 entity-en.article
publications that contains articles that are also published in annals of e0	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article string-venue string-= e0 )
authors of articles published in d0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
articles cited by articles published in annals of e0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-venue string-= e0 )
what article in annals of e0 cites e1	SW.filter ( SW.filter entity-en.article string-cites string-= e1 ) string-venue string-= e0
which article was published in d0 at annals of e0	SW.filter ( SW.filter entity-en.article string-publication_date string-= d0 ) string-venue string-= e0
articles published in d0	SW.filter ( SW.filter entity-en.article string-publication_date string-= d0 ) string-publication_date string-= d0
what is the publication date of a e0 article	SW.getProperty e0 string-publication_date
article citing article published in annals of e0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-venue string-= e0 )
what article has two venues minimum	SW.countComparative entity-en.article string-venue string->= number2
article whose publication date is d0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
name an article found in two or more venues	SW.countComparative entity-en.article string-venue string->= number2
what articles were written by e0	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article string-author string-= e0 )
what article has over two authors	SW.countComparative entity-en.article string-author string-> number2
articles published in d0 that cite e0	SW.filter ( SW.filter entity-en.article string-cites string-= e0 ) string-publication_date string-= d0
what article cites a d0 article	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
articles published in d0 that won awards	SW.filter ( SW.filter entity-en.article string-publication_date string-= d0 ) string-won_award
an article that cites e0 published in d1	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-publication_date string-= d1
article written by more than two authors	SW.countComparative entity-en.article string-author string-> number2
which author wrote two articles maximum	SW.countComparative entity-en.person SW.reverse string-author string-<= number2 entity-en.article
name a person who is the author of an article about e0	SW.filter ( SW.filter entity-en.person SW.reverse string-author string-= e0 ) SW.reverse string-author string-= e0
articles written by the writer of e0	SW.filter entity-en.article string-author string-= ( SW.filter entity-en.person SW.reverse string-author string-= e0 )
name an article published in d0 about e0	SW.filter ( SW.filter entity-en.article string-publication_date string-= d0 ) string-cites string-= e0
article that has the least number of venue	SW.countSuperlative entity-en.article string-min string-venue
find an article published after e0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-publication_date  )
articles not authored by e0	SW.filter entity-en.article string-author string-!= e0
articles published before the date of e0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-publication_date  )
articles that have a publication date close to the date of e0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-publication_date  )
what article was published in d0	SW.filter ( SW.filter entity-en.article string-publication_date string-= d0 ) string-publication_date string-= d0
venues that published in d0	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
venues of articles cited by e0	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
what article was written by e0 and cities e1	SW.filter ( SW.filter entity-en.article string-cites string-= e1 ) string-author string-= e0
name an article about e0	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
articles written by the author of e0	SW.filter entity-en.article string-author string-= ( SW.filter entity-en.person SW.reverse string-author string-= e0 )
articles published in or after d0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string->= ( SW.ensureNumericEntity d0 )
what is an article in annals of e0 about e1	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e1 ) string-venue string-= e0
article cited more than twice	SW.countComparative entity-en.article SW.reverse string-cites string-> number2 entity-en.article
